AS0     -Private Use AS-
AS245   PRC-AS - Planning Research Corporation
AS246   ASIFICS-GW-AS - Military Airlift Command (MAC)
AS247   ROMENET-AS - Rome Air Development Center
AS248   CHAOS-AS Chaos Computer Club e.V.
AS249   CAMP2007-AS AS249
AS250   SACREDCHAO-AS nibbler's ASN for AS250.net project
AS251   FIQ-AS Future In Question ASN
AS252   CECOM-A-TACT - Army Communications Electronics Command
AS253   NTTA-253 - NTT America, Inc.
AS254   TWG-NET-AS - The Wollongong Group
AS255   PAFB-GW - Eastern Space Missle Command
AS256   NCSC-NET-AS - DoD Network Information Center
AS257   NPS-GATOR-AS - Naval Postgraduate School
AS258   BRAGGSRI-EGP-AS - SRI International
AS259   SCUBED-AS - SCUBED
AS260   DSI-WR-15 - Advanced Info. Technology Services
AS261   FR-CINES-MONTPELLIER FR
AS262   NTTA-262 - NTT America, Inc.
AS263   NTTA-262 - NTT America, Inc.
AS264   SRINET-AS - SRI International
AS265   DSI-WR-16 - Advanced Info. Technology Servcies
AS267   NETHER-NET - Nether.Net
AS268   USUHSNET-AS - Uniformed Services University of the Health Sciences
AS269   INCSYS-AS - Incremental Systems Corporation
AS270   PSCNI-AS - National Aeronautics and Space Administration
AS271   BCNET-AS - University of British Columbia
AS272   FTMONMOUTH-ASN - USAISC-CECOM
AS273   DARPA-CISCO-AS - DARPA/ISTO Office
AS274   SOFT-CON-NTS-AS - Advanced Info. Technology Services
AS275   NTTA-275 - NTT America, Inc.
AS276   UTX-AUS - The University of Texas at Austin
AS277   CSC-300-AS277 - Computer Sciences Corporation
AS278   Red Academica de Mexico
AS279   LVLT-279 - Level 3 Communications, Inc.
AS280   NTTA-280 - NTT America, Inc.
AS281   LVLT-281 - Level 3 Communications, Inc.
AS282   MERIT-AUX-AS - Merit Technology, Inc.
AS284   UUNET-IPV6 - MCI Communications Services, Inc. d/b/a Verizon Business
AS285   AVTROS-AS - DoD Network Information Center
AS286   KPN KPN Internet Backbone AS
AS287   CNSYD-POE-AS - DoD Network Information Center
AS288   European Space Agency
AS289   APGNET-AS - Headquarters, USAAISC
AS290   SHOWNET-AS - Interop Show Network
AS291   ESNET-EAST - Energy Sciences Network
AS292   ESNET-WEST - Energy Sciences Network
AS293   ESNET - Energy Sciences Network
AS294   FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique
AS295   OSI-GW-AS - Navy Regional Data Automation Center
AS296   ACFP-NET-TST-AS - DoD Network Information Center
AS297   NISN-SIP-AS - National Aeronautics and Space Administration
AS298   RADC-LONEX-AS - Rome Air Development Center
AS299   UCINET-AS - University of California, Irvine
AS300   GUNTER-LAN-AS - Headquarters Standard Systems Center (HQ SSC)
AS301   C3PO-AS - Sacramento Air Logistics Center
AS302   BCM-INFO-NET-AS - Baylor College of Medicine
AS303   NPRDC-AS - Navy Personnel R & D Center
AS304   SRIEXPRIGNET-AS - SRI International
AS305   WALTER-REED-AS - DoD Network Information Center
AS306   DNIC - DoD Network Information Center
AS307   DNIC - DoD Network Information Center
AS308   DNIC - DoD Network Information Center
AS309   DNIC - DoD Network Information Center
AS310   DNIC - DoD Network Information Center
AS311   DNIC - DoD Network Information Center
AS312   DNIC - DoD Network Information Center
AS313   DNIC - DoD Network Information Center
AS314   DNIC - DoD Network Information Center
AS315   DNIC - DoD Network Information Center
AS316   DNIC - DoD Network Information Center
AS317   DNIC - DoD Network Information Center
AS318   DNIC - DoD Network Information Center
AS319   DNIC - DoD Network Information Center
AS320   DNIC - DoD Network Information Center
AS321   DNIC - DoD Network Information Center
AS322   DNIC - DoD Network Information Center
AS323   DNIC - DoD Network Information Center
AS324   DNIC - DoD Network Information Center
AS325   DNIC - DoD Network Information Center
AS326   DNIC - DoD Network Information Center
AS327   DNIC - DoD Network Information Center
AS328   DNIC - DoD Network Information Center
AS329   DNIC - DoD Network Information Center
AS330   DNIC - DoD Network Information Center
AS331   DNIC - DoD Network Information Center
AS332   DNIC - DoD Network Information Center
AS333   DNIC - DoD Network Information Center
AS334   DNIC - DoD Network Information Center
AS335   DNIC - DoD Network Information Center
AS336   DNIC - DoD Network Information Center
AS337   DNIC - DoD Network Information Center
AS338   DNIC - DoD Network Information Center
AS339   DNIC - DoD Network Information Center
AS340   DNIC - DoD Network Information Center
AS341   DNIC - DoD Network Information Center
AS342   DNIC - DoD Network Information Center
AS343   DNIC - DoD Network Information Center
AS344   DNIC - DoD Network Information Center
AS345   DNIC - DoD Network Information Center
AS346   DNIC - DoD Network Information Center
AS347   DNIC - DoD Network Information Center
AS348   DNIC - DoD Network Information Center
AS349   DNIC - DoD Network Information Center
AS350   DNIC - DoD Network Information Center
AS351   DNIC - DoD Network Information Center
AS352   DNIC - DoD Network Information Center
AS353   DNIC - DoD Network Information Center
AS354   DNIC - DoD Network Information Center
AS355   DNIC - DoD Network Information Center
AS356   DNIC - DoD Network Information Center
AS357   DNIC - DoD Network Information Center
AS358   DNIC - DoD Network Information Center
AS359   DNIC - DoD Network Information Center
AS360   DNIC - DoD Network Information Center
AS361   DNIC - DoD Network Information Center
AS362   DNIC - DoD Network Information Center
AS363   DNIC - DoD Network Information Center
AS364   DNIC - DoD Network Information Center
AS365   DNIC - DoD Network Information Center
AS366   DNIC - DoD Network Information Center
AS367   DNIC - DoD Network Information Center
AS368   DNIC - DoD Network Information Center
AS369   DNIC - DoD Network Information Center
AS370   DNIC - DoD Network Information Center
AS371   DNIC - DoD Network Information Center
AS372   NSN-AMES-AS - National Aeronautics and Space Administration
AS373   MITRE-AS-4 - The MITRE Corporation
AS374   BROOKS-AS - DoD Network Information Center
AS375   TIETOTIE-AS Finnish State Computer Centre
AS376   RISQ-AS - Reseau Interordinateurs Scientique Quebecois (RISQ)
AS377   SNLA-NET-AS - Sandia National Laboratories
AS378   MACHBA-AS ILAN
AS379   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS380   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS381   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS382   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS383   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS384   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS385   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS386   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS387   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS388   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS389   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS390   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS391   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS392   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS393   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS394   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS395   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS396   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS397   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS398   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS399   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS400   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS401   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS402   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS403   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS404   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS405   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS406   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS407   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS408   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS409   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS410   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS411   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS412   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS413   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS414   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS415   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS416   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS417   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS418   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS419   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS420   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS421   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS422   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS423   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS424   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS425   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS426   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS427   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS428   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS429   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS430   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS431   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS432   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS433   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS434   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS435   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS436   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS437   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS438   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS439   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS440   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS441   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS442   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS443   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS444   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS445   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS446   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS447   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS448   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS449   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS450   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS451   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS452   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS453   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS454   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS455   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS456   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS457   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS458   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS459   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS460   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS461   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS462   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS463   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS464   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS465   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS466   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS467   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS468   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS469   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS470   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS471   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS472   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS473   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS474   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS475   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS476   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS477   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS478   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS479   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS480   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS481   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS482   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS483   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS484   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS485   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS486   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS487   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS488   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS489   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS490   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS491   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS492   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS493   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS494   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS495   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS496   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS497   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS498   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS499   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS500   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS501   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS502   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS503   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS504   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS505   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS506   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS507   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS508   AFCONC-BLOCK1-AS - Headquarters Standard Systems Center
AS509   WORMS-GW1-AS - DoD Network Information Center
AS510   CSNET-INT-AS - CSNET Coordination and Information Center (CSNET-CIC)
AS511   NET-TRADING - Net Trading Inc.
AS512   NAVDEC-NET1 - NARDAC Pensacola
AS513   CERN CERN - European Organization for Nuclear Research
AS514   EDMICS-POE - DoD Network Information Center
AS515   PMS312GATE-ASN - Naval Sea Systems Command
AS516   KODAK-BTC - Eastman Kodak Boston Technology Center
AS517   KPN Eurorings B.V.
AS518   CONCORD-POE-AS - DoD Network Information Center
AS519   ISCNET - Systemhouse/INTERACTIVE Systems
AS520   COINSDISNET3 - Coins Community Online Intelligence System
AS521   FORD-SRL-AS - Ford Motor Company
AS522   AFSC-SSD-AS - Air Force Space Division
AS523   REDSTONE-AS - Garrison-Redstone (DOIM)
AS524   LVLT-524 - Level 3 Communications, Inc.
AS525   WUERZBURG-GW1-AS - CDIOM
AS526   ASCHAFFENBURG-GW1-AS - CDOIM
AS527   ANSBACH-GW1-AS - CDOIM
AS528   AUGSBURG-GW1-AS CDOIM Augsburg
AS529   BURTONWOOD-GW1-AS CDOIM Burtonwood Information Center
AS530   GEOPPINGEN-GW1-AS - CDOIM Goeppingen Information Center
